text,date,user
BBC spin https://www.youtube.com/watch?v=ssqiAMJMi2w,2016-02-08 20:21:59,SAWC Sydney
loads of great comments on the video. will start editing a video together to challenge this spin,2016-02-08 20:26:21,SAWC Sydney
[email protected],2016-02-08 20:28:58,SAWC Sydney
after the 30days should we create a account and take the Twitter handle? so they can’t use?,2016-02-13 00:53:45,SAWC Sydney
"Typical stance, why no Bernie Sanders in that poll, he’s having a massive social media response on Oz, is it not the same on UK? (Ian)",2016-05-24 16:46:11,SAWC Sydney
"Thanks Bean, your graphics are always great!",2016-05-28 04:31:52,SAWC Sydney
https://twitter.com/RamiAILoIah/status/754112424005996546,2016-07-15 17:42:13,SAWC Sydney
I love this Art force! I’m jumping on board for sure,2017-01-06 14:49:34,SAWC Sydney
Searching “ROGTV” is this right? https://twitter.com/SAWCSydney/status/832883473182396416,2017-02-18 01:37:27,SAWC Sydney
I’m afraid I’ve misquoted. Can someone please search this up?,2017-02-18 01:37:57,SAWC Sydney
Thanks!,2017-02-18 01:42:24,SAWC Sydney
