text,date,user
did someone say ‘flyer’? email me if you would like a hand 🙂,2015-05-06 16:52:58,Bean
yes am here lurking in the background! <3,2015-05-06 23:52:44,Bean
yes great – no worries…,2015-05-07 00:00:16,Bean
also… bean will be lurking indefinitely in the uk from july so look forward to catching up with y’all over time 🙂,2015-05-07 00:00:35,Bean
🙂,2015-05-07 00:04:13,Bean
had a laugh at this…guardian asks ‘what went wrong with the polls?’ not ‘ what went wrong with labour… and our politics?’ !!,2015-05-07 17:54:34,Bean
https://www.youtube.com/watch?v=eaxz6c-qXM4,2015-05-07 17:54:37,Bean
"If you’d like me to give it a go, I’ve a couple of ‘spare’ hours tonight. Just email me bean[at]somersetbean[dot]com",2015-05-22 02:32:10,Bean
"No probs – I’m sure you’ve done it beautifully 🙂 But yes here of course for future materials! Another month, and I’m over there – Bristol.",2015-05-22 02:45:16,Bean
"all the best Jenny! happy birthday Julian! hugs all round… i’m lurking here (like the nsa), listening to all, do sing out if u need…",2015-07-02 16:21:27,Bean
any graphic design assistance 🙂,2015-07-02 16:21:43,Bean
"hp – sure, send me an email with your ideas 🙂",2015-07-03 05:33:11,Bean
[Tweet] https://twitter.com/WikiLeaksShop/status/622697182274166784 hi WL – any chance of a tweet or a RT for the funky new flash drives at the shop? https://twitter.com/WikiLeaksShop/status/622697182274166784,2015-07-22 05:52:17,Bean
Lovely! A pleasure 🙂,2015-07-24 14:38:40,Bean
A pleasure – thx. Have a couple of social media images ready for the 16th—will set them up as print ready files over next few days & send 🙂,2015-08-06 03:46:44,Bean
right-o 🙂,2015-08-06 03:52:44,Bean
hey em – just checking you received email with poster files (had a few odd email happenings recently!),2015-08-08 15:16:34,Bean
sing out if any ongoing problem with the files of course 🙂 cheers,2015-08-09 01:42:23,Bean
https://twitter.com/SomersetBean/status/632947228399771648/photo/1,2015-08-16 10:05:27,Bean
https://twitter.com/SomersetBean/status/632703139641196544/photo/1,2015-08-16 10:05:54,Bean
will try again with those!…,2015-08-16 10:06:32,Bean
[Tweet] https://twitter.com/SomersetBean/status/632947228399771648,2015-08-16 10:06:35,Bean
[Tweet] https://twitter.com/SomersetBean/status/632703139641196544,2015-08-16 10:07:04,Bean
[Media-image] https://ton.twitter.com/1.1/ton/data/dm/639030612028977156/639030612058312706/eyKSiEbA.png hi WL – have this timeline graphic that i put together from request – but not getting any further response on it so as to be able to finalise it (as of 3 weeks ago) – would be a pity for it to go to waste – needs a couple more points to be added to bring it up to date – pls send me some feedback and i’ll get it completed 🙂,2015-09-02 04:02:25,Bean
ps welcome greta 🙂,2015-09-02 04:02:46,Bean
"right-o – yep good one to add, ta – what about anything for august 2015?",2015-09-02 04:14:45,Bean
ok will do – thx,2015-09-02 04:22:09,Bean
"will find dates for those or add them to the red bar running throughout the timeline… re the sw/us talks re onward extradition point: it’s actually already included in the dec 7, 2010 point: “US in preemptive talks with Sweden to transfer Assange to US.”",2015-09-02 04:30:34,Bean
[Media-image] https://ton.twitter.com/1.1/ton/data/dm/639057448498790403/639057448528146433/4h4VlMr-.png no worries 🙂 here’s the latest draft… will get a final png together and upload a pdf when all finalised,2015-09-02 05:49:03,Bean
[Media-image] https://ton.twitter.com/1.1/ton/data/dm/639119741551005699/639119741576183808/jy6B0Cty.png hey all – do you reckon the timeline is good to go?,2015-09-02 09:56:35,Bean
thanks all for the timeline suggestions… original idea was to show ongoing activity of US investigation vs lack of activity from the swedish prosecution… so will incorporate some more of those US actions… and good point jenny – yes has been a bit tricky to fit it all in legibly as want it to be an image that can be easily shared (something that can fit on a web page/blog/article) – bolder lines will probably help… will have a further look at it all tomorrow… thx,2015-09-02 14:52:00,Bean
