text,date,user
"Hey, have shared the nextgen link. Assume this group is for distro of important links?",2015-05-01 16:23:54,Matt Watt
Ok sounds good.,2015-05-01 16:30:03,Matt Watt
"Sawcsydney is mainly automated tweets from their facebook page now, as is wikileaksparty. I will give Ian headsup re sawcsydney",2015-05-01 17:02:47,Matt Watt
"I have seen my name mentioned several times regarding that Zulu account, not me running it, also not sure who is.",2015-06-18 23:40:24,Matt Watt
"Heading to #3years2long protest in Sydney at UK consulate. Is a time set on todays MidEast release, might be able to link for Aus media pub",2015-06-18 23:43:45,Matt Watt
"Which video was it? Link doesnt give me a title. They have taken down several over years, once because a radio in background playing music!",2015-06-19 00:01:36,Matt Watt
"Worked out it was the racist on the train. Was taken down for privacy breach, she was staying stop recording in the video.",2015-06-19 00:04:08,Matt Watt
*saying,2015-06-19 00:05:06,Matt Watt
"If police let JA walk free in the morning, what happens next? Obviously needs passport before travel, and then what?",2016-02-04 14:17:08,Matt Watt
"Ok, thanks for the info. I will discuss with the Sydney group if any actions planned, all sounds a bit unknown still.",2016-02-04 14:50:05,Matt Watt
