text,date,user
Hi all. Can someone fill me in in 140 characters on the purpose of this group vs prev group and maybe benefits of this vs using IRC etc? Ta!,2015-05-02 13:54:38,WISE Up Wales
"OK, thanks H. Security issues were about who was on the list then? Never quite know who you’re dealing with online I guess. I don’t, anyway!",2015-05-02 14:12:27,WISE Up Wales
"Hmm, this is complicated, not least cos it’s not just artist [redacted, third party information] but also ‘the man behind the idea’ [redacted, third party information] http://anythingtosay.com/content/",2015-05-03 00:14:41,WISE Up Wales
"and [redacted, third party information] statement on the website (& a later short description) refers to “Bradley Chelsea Manning” which is not the best.",2015-05-03 00:18:57,WISE Up Wales
They probably wanted to avoid the issue being diverted off into trans-politics – ie Manning is in jail for the leaks not for being trans…,2015-05-03 00:20:20,WISE Up Wales
"but unless there’s some acknowledgement, that’s going to happen anyway, thanks to [redacted, third party information] and suchlike.",2015-05-03 00:21:00,WISE Up Wales
Using “Chelsea (formerly known as Bradley) Manning” would be improvement. I think all the media i/vs with artist he’s referred to Brad & he.,2015-05-03 00:23:17,WISE Up Wales
"Because I’ve only seen a few interviews and those referred to Bradley and he. Don’t have TV, don’t watch a lot of vid of news reports",2015-05-03 00:24:55,WISE Up Wales
but hope I’m wrong! It’s a big and ongoing problem. Can’t even start having a conversation about Manning’s situation without getting into..,2015-05-03 00:25:47,WISE Up Wales
"…the trans issues immediately. It’s a societal problem, how we place so much importance on gender. I just do what I can with it as it is.",2015-05-03 00:27:36,WISE Up Wales
"Gender identity politics is a nightmare. & a gift to the state, unfortunately.",2015-05-03 00:28:47,WISE Up Wales
There’s no liberation where the fight’s ended up: now we’ve ‘the cotton ceiling’ where blokes who say they feel like they’re women…,2015-05-03 00:35:04,WISE Up Wales
"…possibly only part time, complain that lesbians won’t have sex with them!",2015-05-03 00:35:21,WISE Up Wales
"Meantime, many men are now afraid to enter social centres around UK for fear of being attacked for their behaviour",2015-05-03 00:35:57,WISE Up Wales
"Yeah, a gender neutral pronoun would be v helpful.",2015-05-03 00:36:42,WISE Up Wales
"But we’re stuck with centuries of patriarchy too. The important thing is to build alliances between all those who are oppressed, not divide",2015-05-03 00:39:22,WISE Up Wales
Indeed.,2015-05-03 00:41:26,WISE Up Wales
That statement is helpful (is that posted by Vaughan Smith?) but I can’t see anything like it on http://anythingtosay.com,2015-05-03 00:44:47,WISE Up Wales
"‘The prisoner’ can work but you can’t write long pieces or talk to people on the street for long in that vein. Also, in my experience…",2015-05-03 00:46:50,WISE Up Wales
…it’s important to clarify Chelsea/Bradley – you have to do it – or people think there are more than one person. Happened loads of times,2015-05-03 00:47:36,WISE Up Wales
"I think it’s easy to forget when you know the story but many ppl simply don’t, or only sketchiest details",2015-05-03 00:48:34,WISE Up Wales
Sarcasm doesn’t travel easily on twitter! Or I’m slow! :o),2015-05-03 00:50:32,WISE Up Wales
“The sculpture will show Chelsea Manning at the time when the facts took place. This is also motivated by the fact that the artist could not,2015-05-03 01:10:03,WISE Up Wales
get enough portraits of her actual look to make a realistic portrait. All we are doing is to try and keep alive the public interest on this,2015-05-03 01:10:15,WISE Up Wales
story. The story of three courageous persons. One women and two men.” https://www.kickstarter.com/projects/1856732911/anything-to-say-a-public-art-project-for-freedom/description,2015-05-03 01:10:31,WISE Up Wales
But the 2nd sentence is bullshit. ‘Actual look’ would be meaningless in the context of this sculpture.,2015-05-03 01:12:02,WISE Up Wales
"Yeah, they could really do with the approval of CM to quote to detractors.",2015-05-03 01:13:25,WISE Up Wales
"Hi Emmy, glad this was worth the trip to Brighton. If show is good, maybe we should put dates/links on wiseup calendar?",2015-05-03 14:27:06,WISE Up Wales
Killian is from Dublin where there’s lots of support. I’ve emailed our Irish list – includes actors/musicians who may know him already…,2015-05-04 00:57:49,WISE Up Wales
…or can make contact. Donal O’Kelly will be at Edinburgh Fringe too. Good to build links.,2015-05-04 00:59:13,WISE Up Wales
"Well, at least we don’t have to go through that thing of people becoming re-disillusioned with Labour all over again…",2015-05-08 03:32:40,WISE Up Wales
…and the Tories on their own get to take full responsibility and blame for what they do…,2015-05-08 03:33:06,WISE Up Wales
…and there are (hopefully) still a few libertarian Tories to cause Cameron some problems.,2015-05-08 03:33:49,WISE Up Wales
Is there a link to share that references the dissenting opinion in Supreme court?,2015-05-11 04:01:05,WISE Up Wales
"Can this departure from normal process be appealed, or is there nowhere to go with it?",2015-05-11 09:22:31,WISE Up Wales
